
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 103, Time: 0.885938, Systemstep: 0.00492188

Begin Step 104, Time: 0.890859, Systemstep: 0.00492187

Begin Step 105, Time: 0.895781, Systemstep: 0.00492187

Begin Step 106, Time: 0.900703, Systemstep: 0.00492188

Begin Step 107, Time: 0.905625, Systemstep: 0.00492187

Begin Step 108, Time: 0.910547, Systemstep: 0.00492187

Begin Step 109, Time: 0.915469, Systemstep: 0.00492188

Begin Step 110, Time: 0.920391, Systemstep: 0.00492187

Begin Step 111, Time: 0.925312, Systemstep: 0.00492187

Begin Step 112, Time: 0.930234, Systemstep: 0.00492188

Begin Step 113, Time: 0.935156, Systemstep: 0.00492187

Begin Step 114, Time: 0.940078, Systemstep: 0.00492187

Begin Step 115, Time: 0.945, Systemstep: 0.00492188

Begin Step 116, Time: 0.949922, Systemstep: 0.00492187

Begin Step 117, Time: 0.954844, Systemstep: 0.00492187

Begin Step 118, Time: 0.959766, Systemstep: 0.00492187

Begin Step 119, Time: 0.964688, Systemstep: 0.00492188

Begin Step 120, Time: 0.969609, Systemstep: 0.00492187

Begin Step 121, Time: 0.974531, Systemstep: 0.00492187

Begin Step 122, Time: 0.979453, Systemstep: 0.00492188

Begin Step 123, Time: 0.984375, Systemstep: 0.00492187

Begin Step 124, Time: 0.989297, Systemstep: 0.00492187

Begin Step 125, Time: 0.994219, Systemstep: 0.00492188

Begin Step 126, Time: 0.999141, Systemstep: 0.00492187

Begin Step 127, Time: 1.00406, Systemstep: 0.00492188

Begin Step 128, Time: 1.00898, Systemstep: 0.00492187

Begin Step 129, Time: 1.01391, Systemstep: 0.00492187

Begin Step 130, Time: 1.01883, Systemstep: 0.00492187

Begin Step 131, Time: 1.02375, Systemstep: 0.00492187

Begin Step 132, Time: 1.02867, Systemstep: 0.00492187

Begin Step 133, Time: 1.03359, Systemstep: 0.00492188

Begin Step 134, Time: 1.03605, Systemstep: 0.00246094

Begin Step 135, Time: 1.03852, Systemstep: 0.00246094

Begin Step 136, Time: 1.04098, Systemstep: 0.00246094

Begin Step 137, Time: 1.04344, Systemstep: 0.00246094

Begin Step 138, Time: 1.0459, Systemstep: 0.00246094

Begin Step 139, Time: 1.04836, Systemstep: 0.00246094

Begin Step 140, Time: 1.05082, Systemstep: 0.00246094

Begin Step 141, Time: 1.05328, Systemstep: 0.00246094

Begin Step 142, Time: 1.05574, Systemstep: 0.00246094

Begin Step 143, Time: 1.0582, Systemstep: 0.00246094

Begin Step 144, Time: 1.06066, Systemstep: 0.00246094

Begin Step 145, Time: 1.06313, Systemstep: 0.00246094

Begin Step 146, Time: 1.06559, Systemstep: 0.00246094

Begin Step 147, Time: 1.06805, Systemstep: 0.00246094

Begin Step 148, Time: 1.07051, Systemstep: 0.00246094

Begin Step 149, Time: 1.07297, Systemstep: 0.00246094
